incident_id,article_url,domain
53,https://www.cbc.ca/news/canada/ottawa/man-assaulted-turban-stolen-westgate-mall-1.4594895,cbc.ca
54,http://www.worldbulletin.net/america-canada/200581/canadian-churches-vandalized-on-easter-sunday,worldbulletin.net
55,http://www.cbc.ca/news/canada/ottawa/racist-graffiti-gatineau-bus-shelter-swastika-1.4601290,cbc.ca
56,"https://thegrio.com/2018/03/29/black-woman-politician-canada-racist/
https://www.huffingtonpost.ca/2018/03/27/celina-caesar-chavannes-supporters-share-appreciation-for-mp-with-hereforcelina_a_23397067/",thegrio.com
57,http://www.cbc.ca/news/canada/north/tourism-ad-casting-call-racist-yukon-1.4595987,cbc.ca
58,https://www.insauga.com/police-called-to-investigate-potential-hate-fuelled-incident-in-mississauga,insauga.com
59,https://www.huffingtonpost.ca/2018/03/26/black-janitors-fired-racism-human-rights-complaint_a_23395862/,huffingtonpost.ca
60,http://www.cbc.ca/news/canada/edmonton/alberta-health-services-treaty-indian-letter-edmonton-1.4606328,cbc.ca
61,https://www.thestar.com/news/canada/2018/04/11/celebrated-indigenous-law-school-dean-resigns-claiming-systemic-racism.html,thestar.com
62,http://www.cbc.ca/news/canada/hamilton/ndp-miller-allegations-1.4615621,cbc.ca
63,http://www.cbc.ca/news/canada/toronto/tanya-granic-allen-under-fire-for-online-comments-against-gay-marriage-muslim-dress-1.4613483,cbc.ca
64,http://www.bayshorebroadcasting.ca/news_item.php?NewsID=100856,bayshorebroadcasting.ca
65,http://www.cbc.ca/news/canada/calgary/sikh-assault-calgary-obhrai-1.4608993,cbc.ca
66,https://www.theglobeandmail.com/politics/article-iranians-accuse-ottawa-of-discrimination-as-permanent-residency/,theglobeandmail.com
67,https://www.thestar.com/news/canada/2018/04/18/nova-scotia-tory-mla-apologizes-for-comments-slammed-as-racist-and-insensitive.html,thestar.com
68,http://www.cbc.ca/news/canada/windsor/south-west-detention-centre-racism-harassment-correctional-officers-1.4623070,cbc.ca
69,https://winnipeg.ctvnews.ca/this-cannot-be-happening-in-canada-man-whose-dash-cam-captured-technicians-mocking-his-chinese-name-1.3891342,ctvnews.ca
70,http://www.cbc.ca/news/canada/manitoba/winnipeg-delivery-driver-confronts-customer-he-says-called-him-a-terrorist-during-verbal-attack-1.4623747,cbc.ca
71,http://www.cbc.ca/news/canada/nova-scotia/goalie-who-was-victim-of-racial-slur-gets-lots-of-support-1.4622793,cbc.ca
72,http://www.cbc.ca/news/canada/edmonton/edmonton-police-officer-faces-disciplinary-hearing-over-allegations-of-racism-punching-suspect-1.4620988,cbc.ca
73,http://nationalpost.com/news/politics/harjit-sajjan-orders-crackdown-as-canadian-forces-facebook-page-features-racist-vulgar-comments,nationalpost.com
74,https://calgary.ctvnews.ca/dozens-of-people-take-part-in-rally-on-steps-of-calgary-city-hall-1.3885445,ctvnews.ca
75,https://www.theglobeandmail.com/canada/article-montreal-couple-preparing-human-rights-complaint-alleging-racial/,theglobeandmail.com
76,https://www.thespec.com/opinion-story/8593347-oma-decision-about-privilege-and-racism/,thespec.com
77,https://www.bet.com/news/national/2018/05/04/black-woman-humiliated-after-air-canada-kicked-her-off-flight-fo.html,bet.com
78,http://business.financialpost.com/news/retail-marketing/starbucks-canada-to-provide-inclusiveness-training-for-corporate-stores-offices,financialpost.com
79,https://www.theglobeandmail.com/politics/article-first-nations-chiefs-want-un-to-examine-racism-in-canadas-justice/,theglobeandmail.com
80,https://www.theglobeandmail.com/canada/article-comedy-duo-apologizes-for-joke-criticized-as-racist-at-humboldt/,theglobeandmail.com
81,https://www.ctvnews.ca/canada/three-teens-charged-after-racist-graffiti-found-in-ottawa-neighborhood-1.3907655,ctvnews.ca
82,https://herb.co/marijuana/news/smith-mccrossin-jamaica-nova-scotia-cannabis,herb.co
83,http://www.cbc.ca/news/canada/montreal/black-woman-given-444-ticket-for-excessive-noise-accuses-montreal-police-of-racial-profiling-1.4630259,cbc.ca
84,http://www.cbc.ca/news/canada/montreal/judge-awards-50k-to-couple-who-suffered-extreme-racial-harassment-from-neighbour-1.4630511,cbc.ca
85,http://www.palestinechronicle.com/ontario-anti-racism-subcommittee-include-individuals-tied-racist-organization/,palestinechronicle.com
86,https://www.vice.com/en_ca/article/nekjyq/watch-these-men-calmly-respond-to-womans-racist-tirade-at-an-alberta-dennys,vice.com
87,https://www.ctvnews.ca/sports/canada-s-top-ranked-female-tennis-player-blames-racism-for-relative-obscurity-1.3934928,ctvnews.ca
88,http://montrealgazette.com/news/local-news/far-right-and-anti-racist-groups-prepare-to-face-off-at-lacolle-border-crossing,montrealgazette.com
89,http://www.cbc.ca/news/canada/manitoba/winnipeg-rifles-todd-wilson-1.4662254,cbc.ca
90,https://www.ctvnews.ca/canada/no-criminal-charges-against-man-who-waved-nazi-flag-in-montreal-police-1.3931895,ctvnews.ca
91,https://www.thestar.com/opinion/star-columnists/2018/05/15/new-canadian-anti-hate-network-looks-to-co-ordinate-efforts-against-far-right-extremism.html,thestar.com
92,https://theeyeopener.com/2018/05/white-privilege-conference-held-on-ryerson-campus-incites-protests/,theeyeopener.com
93,https://infotel.ca/newsitem/its-racist-its-graffiti-but-heres-why-the-enderby-incident-is-likely-not-a-crime/it52486,infotel.ca
94,http://www.cbc.ca/news/canada/montreal/racist-slurs-at-minor-hockey-tournament-in-quebec-city-symptom-of-widespread-problem-1.4687852,cbc.ca
95,http://www.cbc.ca/news/canada/toronto/neo-nazis-anti-semitic-posters-1.4682529,cbc.ca
96,https://www.telesurtv.net/english/news/Canada-Racists-Spray-Paint-Fuck-You-Muslims-on-School--20180523-0001.html,telesurtv.net
