"city_or_region","prov_code","loc_full","lat","lon"
"Saskatoon","SK","Saskatoon, SK",52.131802,-106.660767
"Sault Ste. Marie","ON","Sault Ste. Marie, ON",46.52391,-84.320068
"Schomberg","ON","Schomberg, ON",44.001387,-79.682541
"Slave Lake","AB","Slave Lake, AB",55.2810741,-114.7717876
"Smithers","BC","Smithers, BC",54.7792074,-127.1760991
"Squamish-Lillooet","BC","Squamish-Lillooet, BC",49.6980743,-123.1558612
"St. John's","NL","St. John's, NL",47.561701,-52.715149
"Stonewall","MB","Stonewall, MB",50.1342275,-97.3287254
"Stratford","ON","Stratford, ON",43.3700899,-80.9818016
"Sudbury","ON","Sudbury, ON",46.487489,-80.9921545
"Summerland","BC","Summerland, BC",49.6,-119.666667
"Surrey","BC","Surrey, BC",49.1913033,-122.8491439
"Sydney","NS","Sydney, NS",46.137977,-60.194092
"Thompson","MB","Thompson, MB",55.743347,-97.863464
"Thunder Bay","ON","Thunder Bay, ON",48.406414,-89.259796
"Timmins","ON","Timmins, ON",48.477473,-81.330414
"Tiny","ON","Tiny, ON",44.7382893,-80.127099356532
"Toronto","ON","Toronto, ON",43.6534817,-79.3839347
"Vancouver","BC","Vancouver, BC",49.2608724,-123.1139529
"Vernon","BC","Vernon, BC",50.2668671,-119.2718157
"Victoria","BC","Victoria, BC",48.4283182,-123.3649533
"Wainfleet","ON","Wainfleet, ON",42.9238093,-79.3764231
"Wasaga Beach","ON","Wasaga Beach, ON",44.49555175,-80.0197127064772
"Waterloo","ON","Waterloo, ON",43.4652699,-80.5222961
"Welland","ON","Welland, ON",42.9922181,-79.2484192
"West Island","QC","West Island, QC",45.51354495,-73.5582158586634
"West Vancouver","BC","West Vancouver, BC",49.3311208,-123.1594791
"Wet'suwet'en","BC","Wet'suwet'en, BC",54.02353905,-126.675997821124
"Whale Cove","NU","Whale Cove, NU",62.1734234,-92.5863704
"Whistler","BC","Whistler, BC",50.1171903,-122.9543022
"Windsor","NS","Windsor, NS",44.9905115,-64.1363749
"Windsor","ON","Windsor, ON",42.317099,-83.0353434
"Winnipeg","MB","Winnipeg, MB",49.8955367,-97.1384584
"Yellowknife","NT","Yellowknife, NT",62.4540807,-114.377385
