Incident ID,Article URL,Incident Description,Publication Date,Incident Date,Pub Date Minus Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Previous Tags,Needs Review,D4G Notes,CCMF Notes,Status
4,https://www.cbc.ca/news/canada/calgary/judge-eidsvik-apology-remarks-racism-reaction-1.4478530,Lawyers question fairness of Calgary judge accused of racist remarks,2018-01-09,2018-01-09,0,Alberta,Calgary,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,,Hate speech: Other,NC; hate speech; anti-black; Calgary,,,,
5,http://nationalpost.com/news/canada/p-e-i-legion-to-apologize-after-sikh-man-reportedly-asked-to-remove-headdress,P.E.I. legion to apologize after video shows woman threatening to 'rip' off Sikh man's patka,2018-01-20,2018-01-20,0,Prince Edward Island,Tignish,,Non-Criminal,,,South Asian,,,,,,,India,,Religious discrimination: Anti-Sikhism,,Harassment: Other,NC; harassment; anti-sikh/indian; Tignish,,,,
6,https://www.cbc.ca/news/canada/new-brunswick/university-of-new-brunswick-racist-posters-1.4489872,White nationalist group says more racist posters coming to UNB,2018-01-19,2018-01-16,3,New Brunswick,,,Non-Criminal,,,,,,,,,,,,,,,NC; race relations; white supremasists; New Brunswick,,,,
7,https://www.ctvnews.ca/canada/swastikas-drawn-on-snowy-cars-in-toronto-police-investigating-1.3758393,Swastikas drawn on snowy cars in Toronto; police investigating,2018-01-13,2018-01-13,0,Ontario,Toronto,,Non-Criminal,,,,,,,,,,,,Religious discrimination: Anti-Semitism,,,NC; race relations; anti-semitism; Toronto,,,,
8,http://www.cbc.ca/news/canada/nova-scotia/petition-calls-for-acadia-professor-to-be-fired-twitter-1.4487142,Petition calls for Acadia prof to be fired for social media posts,2018-01-15,2018-01-15,0,Nova Scotia,,,Non-Criminal,,,Indigenous,,,,,,,,,,Online: Social media,,NC; race relations; anti-indigenous; Nova Scotia,,,,
9,https://www.rawstory.com/2018/01/hate-rag-editor-promotes-hitler-fan-club-in-new-issue-despite-lawsuits-mail-ban-and-hate-speech-charge/,"Hate rag’ editor promotes Hitler Fan Club in new issue — despite lawsuits, mail ban and hate speech charge",,2018-01-12,,Ontario,Toronto,,Non-Criminal,,,,,,,,,,,,,,,NC; race relations; white supremasists; Toronto,,,,
10,http://www.wnd.com/2018/01/journalist-i-was-fired-for-criticizing-islam/,"Journalist: I was fired for criticizing Islam
Read more at https://www.wnd.com/2018/01/journalist-i-was-fired-for-criticizing-islam/#IurES5PuwI3r7E83.99",2018-01-12,2018-01-12,0,Ontario,Ottawa,,Non-Criminal,,,,,,,,,,,,Religious discrimination: Islamophobia,,,NC; race relations; anti-muslim; Ottawa,,,,
11,http://www.huffingtonpost.ca/2018/02/01/the-baron-editor-in-chief-anna-de-luca-fired-over-articles-featuring-white-nationalist_a_23350313/,The Baron Editor-In-Chief Anna De Luca Fired Over Articles Featuring White Nationalist,,2018-02-02,,New Brunswick,Fredericton,,Non-Criminal,,,,,,,,,,,,,,Hate speech: Other,NC; hate speech; white supremasists; Fredericton,,,,
12,https://www.ctvnews.ca/canada/ottawa-police-investigating-defacing-of-mosque-1.3782101,Ottawa police investigating defacing of mosque,2018-01-30,2018-01-30,0,Ontario,Ottawa,,,,,,,,,,,,,,Religious discrimination: Islamophobia,,Vandalism,Police investigation; hate crime/vandalism; anti muslim; Ottawa,,,,
13,http://www.cbc.ca/news/canada/calgary/nimra-amjat-racist-death-threats-school-trustee-charges-police-1.4510339,Failed school trustee candidate who claimed to be victim of racist death threats charged under Election Act,2018-01-30,2018-01-30,0,Alberta,Calgary,,Criminal: Unknown,,,,,,,,,,,,,Educational institute: Other,,C; false alligations of being a victim of racits threats; Calgary,,,,
14,http://nationalpost.com/news/canada/scared-how-bad-it-could-get-racial-tension-hangs-over-sask-as-trial-for-farmer-who-allegedly-killed-indigenous-man-approaches,Racial tension hangs over Sask. as trial for farmer who allegedly killed Indigenous man looms,2018-01-26,2018-01-26,0,Saskatchewan,,,Non-Criminal,,,Indigenous,,,,,,,,,,,,NC; race relations; ant-indigenous; Saskatchewan,,,,
15,http://www.cbc.ca/news/canada/montreal/crarr-charges-breathalyzer-1.4519263,"Man charged for refusing breathalyzer test, claims Montreal police racially profiled him",2018-02-04,2018-02-04,0,Quebec,Montreal,,Criminal: Unknown,,,Black/African/Caribbean,,,,,,,,,,,,C; race relations; anti-black; Montreal,,,,
16,http://www.cbc.ca/news/canada/sudbury/timmins-indigenous-deaths-police-investigation-1.4524090,Timmins mayor calls out 'racist' and anti-police comments following weekend deaths,2018-02-07,2018-02-07,0,Ontario,Timmins,,Non-Criminal,,,Indigenous,,,,,,,,,,,,NC; race relations; anti-indigenous; Timmins,,,,
17,http://leaderpost.com/news/local-news/afn-chief-perry-bellegarde-calls-for-national-strategy-to-address-racism-following-stanley-verdict,AFN Chief Perry Bellegarde calls for national strategy to address racism following Stanley verdict,2018-02-11,2018-02-09,2,Saskatchewan,Regina,,Criminal: Unknown,,,Indigenous,,,,,,,,,,,,C; race relations; anti-indigenous; Regina,,,,
18,http://www.cbc.ca/news/canada/toronto/white-high-school-teacher-do-rag-black-history-month-ajax-1.4527186,"Student, mother 'shocked' after white teacher wears do-rag for Black History Month school event",2018-02-08,2018-02-08,0,Ontario,Ajax ,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Educational institute: Other,,NC; race relations; anti-black; Ajax (Ontario),,,,
19,https://www.thestar.com/news/crime/2018/02/13/police-investigate-after-leuty-lifeguard-station-in-the-beach-is-tagged.html,"Police investigate after Beach landmark tagged with anti-Semitic, anti-Black graffiti",,2018-02-13,,Ontario,Toronto,,,,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Semitism,,Vandalism,"Police investigation; hate crime/vandalism; anti-semitic, anti-black; Toronto",,,,
20,https://www.stalbertgazette.com/article/colten-boushies-murder-reminder-racism-canada-20180214,Reaction to Boushie case a reminder of racism in Canada,2018-02-14,2018-02-06,8,Saskatchewan,,,Criminal: Unknown,,,Indigenous,,,,,,,,,,,,C; murder; anti-indigenous; Saskatchewan,,,,
21,https://montreal.ctvnews.ca/boushie-case-looms-large-over-indigenous-hearings-in-montreal-1.3799503,Boushie case looms large over indigenous hearings in Montreal,2018-02-12,2018-02-12,0,Quebec,Montreal,,,,,Indigenous,,,,,,,,,,,,Public hearing; race relations; anti-indigenous; Montreal,,,,
22,http://aptnnews.ca/2018/02/15/rcmp-facebook-group-claims-colten-boushie-got-deserved/,RCMP Facebook group claims Colten Boushie ‘got what he deserved’,2018-02-15,2018-02-15,0,,,,Non-Criminal,,,Indigenous,,,,,,,,,,Online: Social media,Hate speech: Other,NC; hate speech; anti-indigenous; online,,,,
23,https://www.cbc.ca/news/canada/new-brunswick/timothy-christie-philosophy-unb-discrimination-1.4539460,"Longtime UNB lecturer alleges racism after being passed over for job
Social Sharing",2018-02-20,2018-02-20,0,New Brunswick,,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,,,NC; Human Rights Complaint; anti-black; New Brunswick,,,,
24,http://ottawacitizen.com/news/local-news/anti-immigration-groups-at-parliament-hill-protest-demand-apology-from-trudeau,Anti-immigration groups at Parliament Hill protest demand apology from Trudeau,2018-02-19,2018-02-19,0,Ontario,Ottawa,,Non-Criminal,,,,,,,,,,,,"Religious discrimination: Islamophobia, Xenophobia",,,"NC; race relations; anti-muslim, anti-immigration; Ottawa",,,,
25,https://www.cbc.ca/news/canada/newfoundland-labrador/polar-bear-photo-outrage-pelt-1.4536807,"Photo of legally hunted polar bear draws social media outrage, racist comments
Social Sharing",2018-02-15,2018-02-15,0,Newfoundland and Labrador,Labrador,,Non-Criminal,,,Indigenous,,,,,,,,,,Online: Social media,,NC; race relations; anti-indigenous; Labrador,,,,
26,https://www.theglobeandmail.com/opinion/as-abdoul-abdis-parent-canada-is-guilty-of-child-neglect/article38000645/,"As Abdoul Abdi’s parent, Canada is guilty of child neglect",2018-02-15,2018-02-15,0,Ontario,Ottawa,,Non-Criminal,,,,,,,,,,,,,,,NC; Constitutional challenge; not specified; Ottawa,,,,
27,http://www.cbc.ca/news/canada/edmonton/fort-mcmurray-islamic-centre-graffiti-1.4534316,Sign outside Fort McMurray Islamic centre defaced,2018-02-14,2018-02-14,0,Alberta,Fort McMurray,Fort McMurray Islamic Centre,Criminal: Unknown,,,,,,,,,,,,Religious discrimination: Islamophobia,,Vandalism,C; vandalism; anti-muslim; Fort McMurray,,,,
28,http://www.cbc.ca/news/canada/nova-scotia/dalhousie-university-racist-graffiti-halifax-police-1.4551259,Dal president responds to 'abhorrent' racist graffiti found on campus,2018-02-25,2018-02-23,2,Nova Scotia,Halifax,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,,Vandalism,NC; vandalism; anti-black; Halifax,,,,
29,https://montreal.ctvnews.ca/montreal-s-b-nai-brith-office-targeted-in-anti-semitic-letter-1.3817371,Montreal's B'nai Brith office targeted in anti-semitic letter,2018-02-23,2018-02-23,0,Quebec,Montreal,,Non-Criminal,,,,,,,,,,,,Religious discrimination: Anti-Semitism,,Hate speech: Letter/flyer,NC; hate crime; anti-semitic; Montreal,,,,
