incident_id,city_or_region,province,national,detailed_location,article_url,needs_review,notes
83,Montreal,Quebec,,,http://www.cbc.ca/news/canada/montreal/black-woman-given-444-ticket-for-excessive-noise-accuses-montreal-police-of-racial-profiling-1.4630259,,
84,Montreal,Quebec,,,http://www.cbc.ca/news/canada/montreal/judge-awards-50k-to-couple-who-suffered-extreme-racial-harassment-from-neighbour-1.4630511,,
85,,Ontario,,,http://www.palestinechronicle.com/ontario-anti-racism-subcommittee-include-individuals-tied-racist-organization/,,
86,Lethbridge,Alberta,,,https://www.vice.com/en_ca/article/nekjyq/watch-these-men-calmly-respond-to-womans-racist-tirade-at-an-alberta-dennys,,
87,Ottawa,Ontario,,,https://www.ctvnews.ca/sports/canada-s-top-ranked-female-tennis-player-blames-racism-for-relative-obscurity-1.3934928,,
88,Lacolle,Quebec,,,http://montrealgazette.com/news/local-news/far-right-and-anti-racist-groups-prepare-to-face-off-at-lacolle-border-crossing,,
89,Winnipeg,Manitoba,,,http://www.cbc.ca/news/canada/manitoba/winnipeg-rifles-todd-wilson-1.4662254,,
90,Montreal,Quebec,,,https://www.ctvnews.ca/canada/no-criminal-charges-against-man-who-waved-nazi-flag-in-montreal-police-1.3931895,,
91,Ottawa,Ontario,,,https://www.thestar.com/opinion/star-columnists/2018/05/15/new-canadian-anti-hate-network-looks-to-co-ordinate-efforts-against-far-right-extremism.html,,
92,Toronto,Ontario,,,https://theeyeopener.com/2018/05/white-privilege-conference-held-on-ryerson-campus-incites-protests/,,
93,Enderby,British Columbia,,,https://infotel.ca/newsitem/its-racist-its-graffiti-but-heres-why-the-enderby-incident-is-likely-not-a-crime/it52486,,
94,Montreal,Quebec,,,http://www.cbc.ca/news/canada/montreal/racist-slurs-at-minor-hockey-tournament-in-quebec-city-symptom-of-widespread-problem-1.4687852,,
95,Toronto,Ontario,,,http://www.cbc.ca/news/canada/toronto/neo-nazis-anti-semitic-posters-1.4682529,,
96,Toronto,Ontario,,,https://www.telesurtv.net/english/news/Canada-Racists-Spray-Paint-Fuck-You-Muslims-on-School--20180523-0001.html,,
97,Montreal,Quebec,,,http://www.cbc.ca/news/canada/montreal/officer-cadet-from-royal-military-college-saint-jean-to-be-expelled-for-defiling-qur-an-1.4678092,,
98,Toronto,Ontario,,,https://www.nytimes.com/2018/05/09/sports/hockey/givani-smith-police-escort-ohl.htm,,
99,Saskatoon,Saskatchewan,,,http://www.cbc.ca/news/canada/saskatoon/first-nations-student-subtle-racism-1.4656278,,
100,Halifax,Nova Scotia,,,http://www.cbc.ca/news/canada/nova-scotia/hrm-racism-black-african-nova-scotian-1.4653542,,
101,Ottawa,Ontario,,,http://www.cbc.ca/news/politics/caesar-chavannes-bernier-identity-1.4681187,,
102,Lillooet,British Columbia,,,http://www.lillooetnews.net/news/local-news/gold-trail-issues-statement-on-anti-racist-poster-campaign-1.23311427,,
103,Calgary,Alberta,,,https://globalnews.ca/news/4243508/calgary-indigenous-boy-braids-hair-school/?utm_source=%40globalnews&utm_medium=Twitter,,
104,Ottawa,Ontario,,,https://www.thestar.com/opinion/star-columnists/2018/06/12/starbucks-racial-bias-training-shouldnt-be-one-size-fits-all.html,,
105,Peel Region,Ontario,,,https://www.huffingtonpost.ca/2018/06/07/ontario-teacher-under-investigation-for-mocking-black-childs-hair-in-instagram-post_a_23453739/,,
106,St. John's,Newfoundland and Labrador,,,http://www.cbc.ca/news/canada/newfoundland-labrador/racism-dating-site-post-1.4691830,,
107,Fredericton,New Brunswick,,,http://www.cbc.ca/news/canada/new-brunswick/racist-graffiti-downtown-fredericton-cafe-1.4689396,,
108,,Quebec,,,https://www.cbc.ca/news/canada/montreal/barrette-indigenous-remarks-misinterpreted-1.4715907,,
109,Edson,Alberta,,,https://www.independent.co.uk/news/world/americas/canadian-mosque-arson-attack-alberta-muslim-community-islamic-society-of-edson-a8403941.html,,
110,Kamloops,British Columbia,,,https://www.kamloopsmatters.com/local-news/education-is-the-only-answer-to-ignorance-band-chief-responds-to-racist-comments-found-on-vandalized-sign-near-kamloops-973042,,
111,Montreal,Quebec,,,https://www.cbc.ca/news/canada/montreal/moses-sumney-cancels-performance-1.4731552,,
112,Montreal,Quebec,,,https://montreal.ctvnews.ca/la-meute-and-opponents-face-off-in-canada-day-clash-police-arrest-two-1.3996654,,
113,Vancouver,British Columbia,,,https://www.ctvnews.ca/canada/vancouver-restaurant-manager-fired-for-refusing-to-serve-man-in-maga-hat-1.3995778,,
114,Red Deer,Alberta,,,https://www.cbc.ca/news/canada/calgary/mcdonalds-racist-incident-1.4723378,,
115,Vancouver,British Columbia,,,https://globalnews.ca/news/4299168/racially-charged-vancouver-bus-video/,,
116,Toronto,Ontario,,,https://www.cbc.ca/news/canada/toronto/comedian-actor-andrew-phung-toronto-police-racist-comment-1.4738483,,
117,Abbotsford,British Columbia,,,https://www.cbc.ca/news/canada/british-columbia/racist-facebook-post-1.4732926,,
118,Montreal,Quebec,,,https://www.theglobeandmail.com/arts/theatre-and-performance/article-montreal-jazz-festival-cancels-apologizes-for-robert-lepage-and-betty/,,
119,Sudbury,Ontario,,,http://www.thesudburystar.com/2018/07/15/sudbury-man-leads-anti-immigration-rally,,
120,Surrey,British Columbia,,,https://vancouversun.com/news/local-news/surrey-mom-claims-racism-behind-accusation-of-sneaking-into-shared-swimming-pool,,
121,Mississauga,Ontario,,,http://www.cbc.ca/news/canada/toronto/hate-is-alive-here-wife-of-beaten-mississauga-man-speaks-out-after-attack-1.4751217,,
122,London,Ontario,,,https://lfpress.com/news/local-news/london-grocery-store-standoff-being-probed-as-possible-hate-crime,,
123,,Ontario,,,https://www.cbc.ca/news/canada/toronto/michael-tibollo-slammed-for-remarks-1.4752033,,
124,Ottawa,Ontario,,,https://www.huffingtonpost.ca/2018/07/17/conservatives-yank-attack-ad-that-showed-black-migrant-entering-canada_a_23484161/,,
125,Calgary,Alberta,,,https://www.cbc.ca/news/canada/calgary/peter-simpson-racist-rant-1.4751751,,
126,Medicine Hat,Alberta,,,https://www.cbc.ca/news/canada/calgary/todd-beasley-medicine-hat-united-conservative-party-1.4748603,,
127,Charlottetown,Prince Edward Island,,,https://www.theguardian.pe.ca/opinion/letter-to-the-editor/letter-flyer-attacks-immigration-226081/,,
128,Thunder Bay,Ontario,,,https://www.ctvnews.ca/canada/leaders-call-assault-on-first-nations-man-in-thunder-bay-ont-a-hate-crime-1.4012412,,
129,Ottawa,Ontario,,,https://www.cbc.ca/news/canada/montreal/indigenous-artists-robert-lepage-kanata-1.4747228,,
130,Ottawa,Ontario,,,https://torontosun.com/entertainment/television/big-brother-controversies-racism-assault-homophobia-engulfs-canadas-no-1-show,,
131,Hamilton,Ontario,,,https://www.huffingtonpost.ca/2018/07/29/hamilton-man-racism-possible-hate-crime_a_23491858/,,
132,Halifax,Nova Scotia,,,https://www.cbc.ca/news/canada/nova-scotia/retired-firefighter-sues-halifax-fire-services-alleges-racism-1.4766239,,
133,Toronto,Ontario,,,https://globalnews.ca/news/4356718/racially-charged-confrontation-muslim-family-toronto-ferry-terminal-arrest/,,
134,London,Ontario,,,https://www.cbc.ca/news/canada/london/london-district-catholic-school-board-apologizes-for-racist-explicit-images-in-twitter-feed-1.4764961,,
135,Montreal,Quebec,,,https://www.cbc.ca/news/canada/montreal/petition-demands-public-consultation-on-systematic-racism-1.4764773,,
136,Mississauga,Ontario,,,https://www.mississauga.com/news-story/8762319-anti-muslim-hate-crime-suspect-drops-out-of-mississauga-mayoral-race-now-running-in-ward-9/,,
137,Enderby,British Columbia,,,https://www.castanet.net/news/Vernon/232184/Another-act-of-racism,,
138,Peel Region,Ontario,,,https://www.cbc.ca/news/canada/toronto/peel-council-integrity-commissioner-report-1.4755591,,
139,Edmonton,Alberta,,,"https://www.israelnationalnews.com/News/News.aspx/250078 
https://globalnews.ca/news/4373431/edmonton-swastika-graffiti-rally-rachel-notley/",,
140,Flin Flon,Manitoba,,,"https://thinkpol.ca/2018/08/05/two-women-arrested-for-inciting-hate-speech-against-indigenous-canadians-on-social-media/ 

https://www.thestar.com/news/canada/2018/07/31/two-manitoba-women-charged-with-inciting-hatred-against-indigenous-people-on-facebook.html",,
141,Toronto,Ontario,,,http://www.dailymail.co.uk/news/article-6024161/Woman-launches-racist-tirade-woman-subway-Canada-STEALING-phone.htm,,
142,Vancouver,British Columbia,,,https://nextshark.com/crazy-rich-asians-poster-vandalized-racist-comments-vancouver-nothing-will-shake-us-says-director/ https://bc.ctvnews.ca/poster-for-crazy-rich-asians-movie-defaced-with-racist-graffiti-1.4043367,,
143,Edmonton,Alberta,,,https://www.cbc.ca/news/canada/edmonton/lessard-edmonton-community-vandalized-1.4774035,,
144,Victoria,British Columbia,,,"https://www.mtlblog.com/news/statue-of-canadas-racist-first-prime-minister-was-removed-and-replaced-by-a-plaque-that-has-already-been-vandalized 
https://nationalpost.com/news/politics/plaque-replacing-sir-john-a-macdonald-statue-defaced-victoria-keeping-monument",,
145,Ottawa,Ontario,,,https://www.cbc.ca/news/politics/iqra-khalid-anti-semitism-1.4787956,,
146,Calgary,Alberta,,,https://www.thestar.com/news/canada/2018/08/13/alberta-doctor-being-investigated-for-alleged-racist-comments-towards-indigenous-people.html,,
147,Ottawa,Ontario,,,https://www.cbc.ca/news/politics/maxime-bernier-extreme-multiculturalism-1.4783325,,
148,Peterborough,Ontario,,,https://globalnews.ca/news/4384597/racial-slurs-shouted-during-brawl-at-peterborough-park/,,
149,Toronto,Ontario,,,http://www.cjnews.com/news/canada/jdl-canada-leader-threatened-after-opposing-white-nationalist-rally,,
150,Halifax,Nova Scotia,,,https://www.cbc.ca/news/canada/nova-scotia/racist-graffiti-sprayed-on-halifax-elementary-school-1.4782597,,
151,Hamilton,Ontario,,,https://www.cbc.ca/news/canada/hamilton/brock-university-strips-former-prof-s-emeritus-status-after-abhorrent-posts-1.4794293,,
152,Cardston,Alberta,,,https://www.cbc.ca/news/canada/calgary/a-w-cardston-racism-1.4782352,,
153,Ottawa,Ontario,,,https://www.cbc.ca/news/politics/conservative-senator-apologizes-liberal-mp-tweet-1.4779161,,
154,Chilliwack,British Columbia,,,https://globalnews.ca/news/4377793/former-right-wing-extremist-racist-graffiti-chilliwack-viral-tweet/,,
155,Toronto,Ontario,,,"http://www.cjnews.com/news/canada/nationalist-rally-planned-in-toronto-on-the-anniversary-of-the-charlottesville-attack 
https://www.thestar.com/news/gta/2018/08/09/anti-islam-group-postpones-rally-at-nathan-phillips-square.html",,
156,Nanaimo,British Columbia,,,https://www.thestar.com/vancouver/2018/08/06/canadian-anti-immigrant-group-exploits-local-divisions-to-gain-legitimacy-says-expert.html,,
157,Peterborough,Ontario,,,https://www.niagarafallsreview.ca/news-story/8804669-updated-peterborough-race-relations-queer-collective-offices-trashed/,,
158,Sabrevois,Quebec,,,https://globalnews.ca/news/4397026/trudeau-calls-out-woman-racism/,,
159,Edmonton,Alberta,,,https://www.ctvnews.ca/canada/woman-who-hurled-racist-insults-at-edmonton-man-won-t-apologize-1.4061392,,
160,Perdue,Saskatchewan,,,https://thestarphoenix.com/news/local-news/indigenous-slo-pitch-team-reports-racist-comments-at-tournament,,
161,Dartmouth,Nova Scotia,,,https://globalnews.ca/news/4396380/every-time-they-come-back-well-be-back-citizens-shut-down-national-citizens-alliance-rally-in-dartmouth/,,
162,,Nunavut,,,https://www.cbc.ca/news/canada/north/emaciated-polar-bear-response-1.4788259,,
163,Montreal,Quebec,,,https://www.theglobeandmail.com/canada/article-montreals-sir-john-a-macdonald-statue-vandalized-with-a-vengeance/,,
164,Mississauga,Ontario,,,https://calgaryherald.com/pmn/news-pmn/canada-news-pmn/three-charged-in-hate-motivated-crime-after-symbols-drawn-on-school-police/wcm/f6154281-00d5-4de5-8123-73884af5c495,,
165,Stratford,Ontario,,,https://www.stratfordbeaconherald.com/news/local-news/stratford-residents-respond-to-recent-hate-crimes-with-impromptu-demonstration-at-city-hall,,
166,Montreal,Quebec,,,https://www.cbc.ca/news/canada/montreal/pq-candidate-under-fire-for-racism-pedophile-accusations-on-twitter-1.4805505,,
167,Edmonton,Alberta,,,https://globalnews.ca/news/4420159/victim-of-racist-exchange-at-edmonton-supermarket-recorded-video-to-raise-awareness-of-islamophobia/,,
168,Edmonton,Alberta,,,https://edmonton.ctvnews.ca/woman-recorded-in-racist-tirade-facing-charges-1.4108698,,
169,Hope,British Columbia,,,https://www.cbc.ca/news/canada/british-columbia/agassiz-rcmp-fishermen-harassment-1.4803129,Check city,"Location originally listed as Fraser River, which isn't a city and might be difficult to map. Article describes location as between the cities of Hope and Yale."
170,Stratford,Ontario,,,https://www.cbc.ca/news/canada/kitchener-waterloo/stratford-festival-police-hate-crime-david-collins-1.4802196,,
171,Ottawa,Ontario,,,https://www.ctvnews.ca/canada/restaurant-owner-apologizes-for-thoughtless-and-unacceptable-instagram-post-1.4072773,,
172,Fort McMurray,Alberta,,,https://www.cbc.ca/news/canada/edmonton/ucp-fort-mcmurray-muslims-1.4813877?cmp=rss,,
173,Fort McMurray,Alberta,,,https://www.cbc.ca/news/canada/edmonton/fort-mcmurray-alberta-party-racial-slur-mandell-sid-fayad-1.4737799,,
174,Ottawa,Ontario,,,https://globalnews.ca/news/4474030/no-charges-alleged-racial-slur-ottawa/,,
175,St. Paul,Alberta,,,https://www.cbc.ca/news/canada/edmonton/alberta-curriculum-indigenous-residential-schools-1.4832419,,
176,M'Chigeeng,British Columbia,,,https://www.cbc.ca/news/canada/sudbury/police-brawl-racism-manitoulin-m-chigeeng-student-1.4830883,,
177,Kincardine,Ontario,,,https://www.ctvnews.ca/canada/ontario-town-rejects-bid-to-remove-statue-of-confederate-army-doctor-1.4099745,,
178,Montreal,Quebec,,,https://www.cbc.ca/news/canada/montreal/quebec-solidaire-dental-care-poster-1.4821889,,
179,Vancouver,British Columbia,,,https://www.scmp.com/news/world/united-states-canada/article/2164336/protests-and-fears-anti-immigrant-backlash-marrisa,,
180,Dartmouth,Nova Scotia,,,https://www.ctvnews.ca/canada/swastikas-spray-painted-in-park-on-school-in-dartmouth-n-s-1.4086409,,
181,,Manitoba,,,https://www.thestar.com/news/canada/2018/09/07/first-nation-demands-inquiry-into-violence-linked-to-hydro-development.html,,
182,Montreal,Quebec,,,https://www.cbc.ca/news/canada/montreal/legault-says-woman-claiming-immigrants-are-erasing-quebec-was-close-to-racist-1.4843602,,
183,Toronto,Ontario,,,https://www.thestar.com/news/gta/2018/09/26/crown-calls-one-year-jail-sentence-unfit-after-judge-takes-anti-black-racism-into-account.html,,
184,Coquitlam,British Columbia,,,https://www.ctvnews.ca/canada/it-disgusts-me-outrage-after-racist-letter-sent-to-asian-realtor-in-b-c-1.4109531,,
185,Keeseekoowenin Ojibway First Nation,Manitoba,,,https://www.cbc.ca/news/canada/manitoba/keeseekoowenin-ojibway-first-nation-human-rights-tribunal-1.4839989,,
186,Thompson,Manitoba,,,"https://www.cbc.ca/news/canada/manitoba/thompson-mayoral-candidate-racist-comments-1.4837150 
https://www.cbc.ca/news/canada/manitoba/thompson-mayor-racist-posts-withdraws-1.4838577",,
187,Toronto,Ontario,,,"https://pressprogress.ca/doug-ford-stands-behind-this-photo-he-took-with-a-group-of-extremely-racist-white-nationalists/ 
https://www.huffingtonpost.ca/2018/09/24/doug-ford-refuses-to-denounce-white-nationalist-he-posed-with-at-bbq_a_23540529/",,
188,Montreal,Quebec,,,http://dailyhive.com/montreal/graffiti-removal-group-erases-defaces-muslim-election-poster,,
189,Edmonton,Alberta,,,https://www.cbc.ca/news/canada/edmonton/female-prison-warden-lawsuit-corrections-canada-1.4845069,Multiple locations,"Multiple locations: Edmonton, AB; Ottawa, ON"
190,Kamloops,British Columbia,,,https://www.ctvnews.ca/canada/racism-a-right-wing-value-b-c-teacher-criticized-for-political-worksheet-1.4120976,,
191,Pictou County,Nova Scotia,,,https://www.cbc.ca/news/canada/nova-scotia/nail-gun-shooting-racism-pictou-county-construction-site-1.4844667,,
192,,Quebec,,,https://montrealgazette.com/news/local-news/as-furor-grows-over-caq-hijab-ban-anti-racism-protest-set-for-sunday,,
193,Edmonton,Alberta,,,https://www.ctvnews.ca/canada/edmonton-police-apologize-for-describing-girl-as-mulatto-in-amber-alert-1.4124507,,
194,Montreal,Quebec,,,https://montrealgazette.com/news/local-news/montreal-the-moment/montreals-john-a-macdonald-statue-spray-painted-by-activists,,
