,location,province,national,complete_loc,latitude,longitude,pop
81,,NS,,"nan, NS, Canada",45.1960403,-63.1653789,
82,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
83,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
84,,ON,,"nan, ON, Canada",50.000678,-86.000977,
85,Lethbridge,AB,,"Lethbridge, AB, Canada",49.694285,-112.851562,71390
86,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
87,Lacolle,QC,,"Lacolle, QC, Canada",45.0796837,-73.3736934,1533
88,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
89,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
90,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
91,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
92,Enderby,BC,,"Enderby, BC, Canada",50.5504793,-119.1397789,2833
93,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
94,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
95,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
96,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
97,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
98,Saskatoon,SK,,"Saskatoon, SK, Canada",52.131802,-106.660767,199523
99,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
100,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
101,Bridge River Lillooet,BC,,"Bridge River Lillooet, BC, Canada",50.851322,-122.8468535,
102,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
103,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
104,Peel,ON,,"Peel, ON, Canada",43.745865,-79.7962296,
105,St. John'S,NL,,"St. John'S, NL, Canada",47.561701,-52.715149,
106,Fredericton,NB,,"Fredericton, NB, Canada",45.966425,-66.645813,51916
107,,QC,,"nan, QC, Canada",52.4760892,-71.8258668,
108,Edson,AB,,"Edson, AB, Canada",53.5858662,-116.4428477,8069
109,Kamloops,BC,,"Kamloops, BC, Canada",50.6758269,-120.3394159,68879
110,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
111,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
112,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
113,Red Deer,AB,,"Red Deer, AB, Canada",52.269838,-113.818359,75099
114,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
115,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
116,Abbotsford,BC,,"Abbotsford, BC, Canada",49.0521162,-122.3294792,157795
117,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
118,Sudbury,ON,,"Sudbury, ON, Canada",46.49272,-80.991211,111118
119,Surrey,BC,,"Surrey, BC, Canada",49.1913033,-122.8491439,
120,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
121,London,ON,,"London, ON, Canada",42.9836747,-81.2496068,348681
122,,ON,,"nan, ON, Canada",50.000678,-86.000977,
123,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
124,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
125,Medicine Hat,AB,,"Medicine Hat, AB, Canada",50.04303,-110.679016,65113
126,Charlottetown,PE,,"Charlottetown, PE, Canada",46.2906776,-63.12947829,43540
127,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
128,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
129,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
130,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
131,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
132,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
133,London,ON,,"London, ON, Canada",42.9836747,-81.2496068,348681
134,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
135,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
136,Enderby,BC,,"Enderby, BC, Canada",50.5504793,-119.1397789,2833
